name,homework,midterm,final_exam,letter
Alex,88.0,82,79,B
Jordan,72.0,68,74,C
Morgan,95.0,91,88,A
Taylor,61.0,58,63,D
Casey,83.0,77,80,B
Jamie,90.0,85,92,B
Dana,55.0,62,58,F
Riley,78.0,75,71,C
Quinn,65.0,60,51,F
Blake,92.0,94,96,A
Avery,80.0,78,82,B
Cameron,70.0,65,68,D
Drew,85.0,88,84,B
Emery,58.0,55,44,F
Finley,96.0,98,95,A
Harper,74.0,71,77,C
Hayden,68.0,72,70,C
Jesse,87.0,84,86,B
Kai,51.0,48,53,F
Lane,93.0,90,91,A
Logan,77.0,80,75,C
Maddox,62.0,66,60,D
Max,89.0,87,90,B
Parker,75.0,73,78,C
Peyton,84.0,82,83,B
Reese,91.0,89,93,A
River,66.0,63,65,D
Sage,79.0,76,74,C
Skyler,98.0,97,99,A
Sydney,59.0,57,55,F
